"projection","method","rank","mean","median","min","max","module_count"
"down_proj","AD_GD","8","0.17041811779076313","0.04817598377343671","0.023988150524717505","0.9894780726820058","28"
"down_proj","AD_GD","16","0.19731876647433966","0.0755352318748084","0.04144983318435693","0.9900002875096294","28"
"down_proj","AD_GD","32","0.23207733957959578","0.11916546929905059","0.07103332610275115","0.990641990690175","28"
"down_proj","AD_GD","64","0.2848030538968783","0.1831986745506763","0.12058621691592822","0.9914990871038658","28"
"down_proj","AD_GF","8","0.2224266124438635","0.12976000682223127","0.058886120845814405","0.9916057880794289","28"
"down_proj","AD_GF","16","0.26180240783711756","0.1741920900642535","0.09721427011717643","0.9922754196466493","28"
"down_proj","AD_GF","32","0.3112954436153016","0.2264721125753546","0.15213760867000983","0.9930437533426311","28"
"down_proj","AD_GF","64","0.379316804341571","0.2956364584273441","0.22842980227048076","0.993975211582865","28"
"down_proj","AD_GI","8","0.16993870452397583","0.05055680381068247","0.02253007113014751","0.9861224686040135","28"
"down_proj","AD_GI","16","0.19568088674297243","0.07458060752878234","0.03897152463986819","0.9866801330103491","28"
"down_proj","AD_GI","32","0.22868404339913137","0.11573141866105621","0.06725847322547295","0.987436949762027","28"
"down_proj","AD_GI","64","0.27935563541611447","0.18124278215138606","0.11562070874134707","0.9884906832846811","28"
"down_proj","AF_GD","8","0.241165495990647","0.13109378553431467","0.07717726832079369","0.991717845535892","28"
"down_proj","AF_GD","16","0.2779092781586289","0.17729939861745803","0.11078961020326847","0.9922713921603482","28"
"down_proj","AF_GD","32","0.32784132193675136","0.24121772082113815","0.15973008631186417","0.9929190553414631","28"
"down_proj","AF_GD","64","0.39540594647952104","0.3251434090942591","0.23055478411682026","0.99374560667851","28"
"down_proj","AF_GF","8","0.27906415098565124","0.17863451557717797","0.11408386566645057","0.994879709226906","28"
"down_proj","AF_GF","16","0.3255755860757717","0.2273687251949331","0.16216207360878718","0.9953448950265218","28"
"down_proj","AF_GF","32","0.38620872373361165","0.2900065693478606","0.2281182507168246","0.9958897103143179","28"
"down_proj","AF_GF","64","0.46491462112845944","0.38559226464045443","0.32053208495495294","0.9965307858035802","28"
